amount,bundleInfo,category,conversionFactor,descriptionLong,descriptionShort,inPromotion,images,name,packageLabel,packageLabelKey,parentCategories,productId,medical,sku,slug,upsellSku,published,purchased,volumeLabelKey,volumeLabelLong,volumeLabelShort,weight,weightArticle,weightPieceArticle,weightPerPiece,alcoholByVolume,brandMarketing,countryOfOrigin,features,keywordSearch,meatBorn,meatButchered,meatSlaughtered,meatRaised,nappySize,nutIngredients,badges,productMarketing,regulatedProductName,storageAndUsageStatements,storageType,telephoneHelpline,wineColour,wineType,quantityStepSize,brand_name,brand_slug,price_baseUnitLong,price_baseUnitShort,price_basePriceFactor,price_regular_perStandardizedQuantity,price_regular_tags,price_regular_value,ageRequiredInMonths,depositType,allergens,maxQuantity,price_depositPrice,price_crossed,price_discountPercentage,price_regular_promotionQuantity,price_regular_promotionText,price_regular_promotionType,price_regular_promotionValue,price_lowestPrice,drainedWeight,preparationTime,minQuantity,bundleSize
560,,Obst & Kompotte,1000.0,,Apfelmus aus Golden Delicious Äpfeln. Besonders beliebt als Nachtisch aber auch als Zutat zu verschiedenen Süßspeisen.,False,"['https://images.cdn.europe-west1.gcp.commercetools.com/723b2575-66c7-4d92-ae49-82bf1d168d26/00-869038-0212050832-7RlwhuU2.jpg', 'https://images.cdn.europe-west1.gcp.commercetools.com/723b2575-66c7-4d92-ae49-82bf1d168d26/00-869038-287058394-6pMb6d15.jpg', 'https://images.cdn.europe-west1.gcp.commercetools.com/723b2575-66c7-4d92-ae49-82bf1d168d26/00-869038-043951551-s8Tx3CH-.jpg', 'https://images.cdn.europe-west1.gcp.commercetools.com/723b2575-66c7-4d92-ae49-82bf1d168d26/00-869038-1929483157-Ud8QjHg_.jpg']",Machland Apfelmus,Glas,gl,"[[{'key': '13943', 'name': 'Nahrungsmittel', 'slug': 'nahrungsmittel-13943', 'orderHint': '000001930'}, {'key': '13992', 'name': 'Konserven & Sauerwaren', 'slug': 'konserven-und-sauerwaren-13992', 'orderHint': '000002420'}, {'key': '13996', 'name': 'Obst & Kompotte', 'slug': 'obst-und-kompotte-13996', 'orderHint': '000002460'}]]",eb9c843b-50c2-44ef-a2b4-cad3c3b97ca3,False,00-869038,machland-apfelmus-00869038,,True,False,gr,Gramm,g,0.85,False,False,0,,,,,,,,,,,,"['pp-veget', 'pp-vegan']",,,Vor Sonnenlicht und Frost schützen. Nach dem Öffnen gekühlt lagern und innerhalb weniger Tage verbrauchen.,,,,,1.0,Machland,machland,Kilogramm,kg,1,320.0,[],179.0,,,,6.0,,,,,,,,,,,,
100,,Taschentücher,1.0,,Schnupfen? Freudentränen? Schluss gemacht? So oder so - BI HOME Taschentücher braucht man immer. Griffbereit auf dem Tisch. Blumiger Duft für Wohlfühlmomente.,False,['https://images.cdn.europe-west1.gcp.commercetools.com/723b2575-66c7-4d92-ae49-82bf1d168d26/00-739623-238559078-U0eTNz-T.jpg'],BI HOME Taschentücher Box Pfingstrose 4-lagig,Box,bx,"[[{'key': '14126', 'name': 'Haushalt', 'slug': 'haushalt-14126', 'orderHint': '000003760'}, {'key': '14167', 'name': 'Taschentücher & Servietten', 'slug': 'taschentuecher-und-servietten-14167', 'orderHint': '000004170'}, {'key': '14168', 'name': 'Taschentücher', 'slug': 'taschentuecher-14168', 'orderHint': '000004180'}]]",d8cc075b-f0e3-453e-8f29-afe73ad1b067,False,00-739623,bi-home-taschentuecher-box-pfingstrose-4lagig-00739623,,True,False,bl,Blatt,,0.274,False,False,0,,,Deutschland,,,,,,,,,,,,"Trocken lagern.

Damit¿s auch für die Natur rosig bleibt: Bitte die leere Box im Altpapier entsorgen",,,,,,Bi HOME,bi-home,Blatt,Blatt,,179.0,[],179.0,,,,6.0,,,,,,,,,,,,
100,,Kräuter,1000.0,,"Der BILLA immer gut Zwiebel in der praktischen Box wird unmittelbar nach der Ernte gewaschen, geschält, fein geschnitten und tiefgefroren - dadurch bleibt das Aroma optimal erhalten.
<ul><li>besonders streufähig
</li><li>erntefrisch tiefgefroren
</li><li>mit Klappverschluss</li></ul>",False,['https://images.cdn.europe-west1.gcp.commercetools.com/723b2575-66c7-4d92-ae49-82bf1d168d26/00-723326-0186227318-VILLGkkU.jpg'],BILLA Zwiebel,,,"[[{'key': '13916', 'name': 'Tiefkühl', 'slug': 'tiefkuehl-13916', 'orderHint': '000001660'}, {'key': '13934', 'name': 'Gemüse, Kräuter & Obst', 'slug': 'gemuese-kraeuter-und-obst-13934', 'orderHint': '000001890'}, {'key': '14560', 'name': 'Kräuter', 'slug': 'kraeuter-14560', 'orderHint': '000001930'}]]",910369f4-1e3c-490e-9b98-de9a4d9e6e7b,False,00-723326,billa-zwiebel-00723326,,True,False,gr,Gramm,g,0.112,False,False,0,,,Frankreich,,,,,,,,,"['pp-veget', 'pp-lakto', 'tiefkuehlung', 'pp-vegan', 'pp-glutenfr']",,,"Aufbewahrung zu Hause: ***Fach oder Tiefkühltruhe (-18°C): Mindestens haltbar bis Ende: siehe Bodenfläche
Nach dem Auftauen nicht wieder einfrieren.
Nach dem Öffnen wiederverschließen, bei -18°C lagern und bis zum Ende des Mindesthaltbarkeitsdatum aufbrauchen.
Anwendung: Lasche leicht zusammendrücken und zur Gänze herausziehen. Vor Gebrauch gut schütteln.",,,,,1.0,Billa immer gut,billa-immer-gut,Kilogramm,kg,1,1390.0,[],139.0,,,,,,,,,,,,,,,,
350,,Honig,1000.0,,Unser Bio-Waldhonig im praktischen Dispenser wird von kompetenten Bienen gesammelt und ist perfekt zum Verfeinern von kalten und warem Speisen geeignet.<ul><li>Kräftig-aromatischer Geschmack</li><li>Vom Honigtau der Bäume und vom Nektar der Waldblumen</li><li>Perfekt zum Verfeinern von kalten und warmen Speisen</li></ul>,False,['https://images.cdn.europe-west1.gcp.commercetools.com/723b2575-66c7-4d92-ae49-82bf1d168d26/00-442875-691206312-nWxe-2EW.jpg'],BILLA Bio Waldhonig,Tube,tb,"[[{'key': '13943', 'name': 'Nahrungsmittel', 'slug': 'nahrungsmittel-13943', 'orderHint': '000001930'}, {'key': '13988', 'name': 'Honig, Marmelade & Co.', 'slug': 'honig-marmelade-und-co-13988', 'orderHint': '000002380'}, {'key': '13989', 'name': 'Honig', 'slug': 'honig-13989', 'orderHint': '000002390'}]]",afdb6607-fda1-47f5-acda-aab3fe330919,False,00-442875,billa-bio-waldhonig-00442875,,True,False,gr,Gramm,g,0.38,False,False,0,,,,,,,,,,,,['pp-bio'],,,"Trocken und vor Wärme geschützt lagern.
",,,,,,BILLA Bio,billa-bio,Kilogramm,kg,1,1283.0,[],449.0,,,,6.0,,,,,,,,,,,,
2,,Frischer Plunder & Strudel,1.0,,,False,['https://images.cdn.europe-west1.gcp.commercetools.com/723b2575-66c7-4d92-ae49-82bf1d168d26/00-417385-067948127-toMcAhIF.jpg'],Vanillestange 2er,Packung,pa,"[[{'key': '13943', 'name': 'Nahrungsmittel', 'slug': 'nahrungsmittel-13943', 'orderHint': '000001930'}, {'key': '14006', 'name': 'Kuchen & Co.', 'slug': 'kuchen-und-co-14006', 'orderHint': '000002560'}, {'key': '14007', 'name': 'Frischer Plunder & Strudel', 'slug': 'frischer-plunder-und-strudel-14007', 'orderHint': '000002570'}]]",7d198c1d-0901-47fb-973d-1e8684b15e3d,False,00-417385,vanillestange-2er-00417385,,True,False,st,Stück,stk,0.17,False,False,0,,,Österreich,,,,,,,,,['homecountry'],,,,,,,,,,,Stück,Stk,,258.0,[],258.0,,,"['MAY_CONTAIN AY', 'CONTAINS AM', 'CONTAINS AW', 'CONTAINS AE', 'MAY_CONTAIN AS', 'MAY_CONTAIN AN']",,,,,,,,,,,,,
400,,Süße Aufstriche,1000.0,,"Die Ja! Natürlich Bio-Nougatcreme kommt komplett ohne Palmöl aus, stattdessen wird hochwertigsten high oleic Bio-Sonnenblumenöl eingesetzt. Der besonders hohe Haselnussanteil liefert zusammen mit der Bourbon-Vanille ein herrlich nussiges Geschmackerlebnis. Der eingesetzte Bio-Kakao ist Fairtrade zertifiziert. Das österreichische Magermilchpulver macht die Nougatcreme besonders cremig.<p><ul><li>Hoher Haselnussanteil</li><li>Palmölfrei</li><li>Mit Fairtrade Bio-Kakao</li><li>Mit high oleic Bio-Sonnenblumenöl statt Palmöl</li></ul>",False,['https://images.cdn.europe-west1.gcp.commercetools.com/723b2575-66c7-4d92-ae49-82bf1d168d26/00-348727-0166168224-Cij_mJGQ.jpg'],Ja! Natürlich Nougatcreme,Glas,gl,"[[{'key': '13943', 'name': 'Nahrungsmittel', 'slug': 'nahrungsmittel-13943', 'orderHint': '000001930'}, {'key': '13988', 'name': 'Honig, Marmelade & Co.', 'slug': 'honig-marmelade-und-co-13988', 'orderHint': '000002380'}, {'key': '13991', 'name': 'Süße Aufstriche', 'slug': 'suesse-aufstriche-13991', 'orderHint': '000002410'}]]",643be775-8fc9-4447-b30c-68cdc6d8a66f,False,00-348727,ja-natuerlich-nougatcreme-00348727,,True,False,gr,Gramm,g,0.616,False,False,0,,,Italien,,,,,,,,,"['gs-ft', 'pp-glutenfr', 'gs-gentech', 'pp-bio']",,,"Bei Raumtemperatur, trocken und vor direkter Sonneneinstrahlung geschützt lagern. 
Nach dem Öffnen innerhalb weniger Tage genießen.",,,,,1.0,Ja! Natürlich,ja--natuerlich,Kilogramm,kg,1,1248.0,[],499.0,,,"['CONTAINS AM', 'CONTAINS EM_SF']",6.0,,,,,,,,,,,,
500,,Teigwaren,1000.0,,Als Klassiker der italienischen Küche dürfen die Tagliatelle von Barilla in keiner Speisekammer fehlen. Die breiten Bandnudeln kommen in kleinen Nudelnestern.<ul><li>italienische Teigwaren aus Hartweizengriess</li><li>nach traditioneller Barilla-Rezeptur hergestellt</li><li>als Beilage und Pasta-Hauptspeisen geeignet</li><li>Kochzeit 6 Minuten</li></ul>,False,"['https://images.cdn.europe-west1.gcp.commercetools.com/723b2575-66c7-4d92-ae49-82bf1d168d26/00-610194-217168827-9GwE0Cvf.jpg', 'https://images.cdn.europe-west1.gcp.commercetools.com/723b2575-66c7-4d92-ae49-82bf1d168d26/00-610194-1744040848-J8jPmLAr.jpg', 'https://images.cdn.europe-west1.gcp.commercetools.com/723b2575-66c7-4d92-ae49-82bf1d168d26/00-610194-1036673405-nUILOioh.jpg']",Barilla Collezione Tagliatelle,Packung,pa,"[[{'key': '13943', 'name': 'Nahrungsmittel', 'slug': 'nahrungsmittel-13943', 'orderHint': '000001930'}, {'key': '14022', 'name': 'Reis, Teigwaren & Sugo', 'slug': 'reis-teigwaren-und-sugo-14022', 'orderHint': '000002720'}, {'key': '14025', 'name': 'Teigwaren', 'slug': 'teigwaren-14025', 'orderHint': '000002750'}]]",99112731-3f8b-4c08-9074-c976c26254a3,False,00-610194,barilla-collezione-tagliatelle-00610194,,True,False,gr,Gramm,g,0.533,False,False,0,,,Italien,,,,,,,,,"['pp-veget', 'pp-vegan']",,,,,,,,,Barilla,barilla,Kilogramm,kg,1,398.0,['pt-multi'],199.0,,,"['MAY_CONTAIN AE', 'CONTAINS AW']",6.0,,249.0,-20.0,2.0,ab 2 Packungen,FROM,249.0,,,,,
300,,Würstel,1000.0,,Klassisch zum Kartoffelpüree oder als schmackhafte Einlage im Eintopf: Die Hofstädter Knacker sind in allen Variationen ein echtes Gustostückerl.<ul><li>geräucherte Brätwürste im 2er-Pack</li><li>mit 100 % Fleisch aus Österreich</li><li>natürliche Aromen ohne Zusatzstoffe</li></ul>,False,['https://images.cdn.europe-west1.gcp.commercetools.com/723b2575-66c7-4d92-ae49-82bf1d168d26/00-955689-0300776373-AGlwn6Nl.jpg'],Hofstädter Knacker 2er,Packung,pa,"[[{'key': '13841', 'name': 'Kühlwaren', 'slug': 'kuehlwaren-13841', 'orderHint': '000000910'}, {'key': '13891', 'name': 'Wurst, Schinken & Speck', 'slug': 'wurst-schinken-und-speck-13891', 'orderHint': '000001410'}, {'key': '13904', 'name': 'Würstel', 'slug': 'wuerstel-13904', 'orderHint': '000001540'}]]",94718333-62dd-4655-b701-1db3844a287f,False,00-955689,hofstaedter-knacker-2er-00955689,,True,False,gr,Gramm,g,0.305,False,False,0,,,Österreich,,,,,,,,,"['kuehlung', 'homecountry']",,,Gekühlt lagern bei 2-6. Ehebaldigst verzehren.,,,,,,Hofstädter,hofstaedter,Kilogramm,kg,1,1163.0,[],349.0,,,"['MAY_CONTAIN BM', 'MAY_CONTAIN BC']",,,,,,,,,,,,,
1.5,,prickelnd,1.0,,"Das Mineralwasser Johannisbrunnen Prickelnd aus Straden ist mit prickelnder Kohlensäure versetzt und enthält zahlreiche Mineralien, die der Körper benötigt.<ul><li>natürliches Mineralwasser aus der Steiermark</li><li>versetzt mit prickelnder Kohlensäure</li><li>reich an natürlichen Mineralien</li><li>wirkt sofort bei Sodbrennen - medizinisch erwiesen</li></ul>",False,"['https://images.cdn.europe-west1.gcp.commercetools.com/723b2575-66c7-4d92-ae49-82bf1d168d26/00-770431-2010555754-IZLO2Zkd.jpg', 'https://images.cdn.europe-west1.gcp.commercetools.com/723b2575-66c7-4d92-ae49-82bf1d168d26/00-770431-321612012-ZodQ3mwU.jpg', 'https://images.cdn.europe-west1.gcp.commercetools.com/723b2575-66c7-4d92-ae49-82bf1d168d26/00-770431-0136733173-7HMpuvPF.jpg']",Johannisbrunnen Prickelnd,Flasche,fl,"[[{'key': '13784', 'name': 'Getränke', 'slug': 'getraenke-13784', 'orderHint': '000000340'}, {'key': '13837', 'name': 'Mineralwasser', 'slug': 'mineralwasser-13837', 'orderHint': '000000870'}, {'key': '13840', 'name': 'prickelnd', 'slug': 'prickelnd-13840', 'orderHint': '000000900'}]]",b8e17a69-dd62-4642-8559-6746329457e2,False,00-770431,johannisbrunnen-prickelnd-00770431,,True,False,lt,Liter,liter,1.55,False,False,0,,,Österreich,,,,,,,,,"['pp-veget', 'homecountry', 'isdeposittype-singleusedeposit']","Das Johannisbrunnen Heilwasser wirkt sofort bei Sodbrennen und ist wohltuend und kraftspendend im Alltag und beim Sport. 

Zur unterstützenden Behandlung von Erkrankungen des Magens (Übersäuerung), der ableitenden Harnwege, der Leber, Gallenblase, Bauchspeicheldrüse sowie bei Zuckerkrankheit. Vom Facharzt zur Trinkkur, aber auch zum täglichen Genuss empfohlen.

Im vulkanischen Gebiet des Gleichenberger Tales tritt dieser Säuerling, 1678 erstmals erwähnt, in großer Tiefe mit CO2 verbunden und kräftig mineralisiert zutage.",,Vor Licht und Hitze geschützt lagern.,,,,,6.0,Johannisbrunnen,johannisbrunnen,Liter,Liter,1,97.0,[],145.0,,SINGLE_USE,,36.0,25.0,,,,,,,,,,,
36,,Reinigungsgeräte & Tücher,1.0,,"Trocken Wischtücher von Swiffer schließen durch ihre einzigartige 3D-Struktur und elektrostatische Wirkung effektiv Schmutz, Staub und Haare ein.<ul><li>Staubtücher zum Entfernen von Staub und Haaren</li><li>Nachfüllpackung für den Swiffer Besen</li><li>ideal für Böden aus Holz, Fliesen oder Vinyl</li></ul>",False,"['https://images.cdn.europe-west1.gcp.commercetools.com/723b2575-66c7-4d92-ae49-82bf1d168d26/00-867105-0356996468-pYoRXhzi.jpg', 'https://images.cdn.europe-west1.gcp.commercetools.com/723b2575-66c7-4d92-ae49-82bf1d168d26/00-867105-0201915810-nuZIJmwi.jpg']",Swiffer Trocken Wischtücher,Packung,pa,"[[{'key': '14126', 'name': 'Haushalt', 'slug': 'haushalt-14126', 'orderHint': '000003760'}, {'key': '14162', 'name': 'Reinigen & Pflegen', 'slug': 'reinigen-und-pflegen-14162', 'orderHint': '000004120'}, {'key': '14166', 'name': 'Reinigungsgeräte & Tücher', 'slug': 'reinigungsgeraete-und-tuecher-14166', 'orderHint': '000004160'}]]",3df7431c-db34-431b-bd60-675f95e2103d,False,00-867105,swiffer-trocken-wischtuecher-00867105,,True,False,st,Stück,stk,0.25,False,False,0,,,Deutschland,,,,,,,,,,"Swiffer Dry Nachfülltücher Clean & Fresh können mit dem Bodenwischer verwendet werden, um Staub, Schmutz und Haare von jeder Art Bodenfläche in Ihrem Zuhause einzufangen und einzuschließen. Dabei sind sie 3-mal effektiver als ein herkömmlicher Besen und hinterlassen außerdem einen schönen frischen Duft auf Ihren Böden. Mit dem Swiffer Dry können Sie Ihr Zuhause im Handumdrehen, mühelos und geräuschlos wieder sauber bekommen. Die perfekte Lösung, um feinen Staub in kleinen Ecken oder an schwer zugänglichen Stellen wie unter dem Sofa und dem Bett einzufangen, wo Besen und Staubsauger nicht immer hinkommen. Die Dichte, spezifische Oberflächenstruktur und elektrostatische Wirkung der Staubtücher ermöglichen es, den gesamten Staub einzufangen und im Inneren des Tuchs einzuschließen. Dabei hinterlassen sie einen langanhaltenden, frischen Duft im Raum. Bodenreinigung war noch nie so schnell und einfach wie mit Swiffer Dry. Guter Tipp: Dieser eignet sich hervorragend zum Entfernen von Tierhaaren, die unsere Haustiere ständig verlieren, sowie für Hausstauballergiker. Swiffer Bodentücher können auf allen harten Oberflächen eingesetzt werden: auf gewachstem oder ungewachstem Linoleum, Vinyl, Keramik und behandelten Holzböden.",,Nicht auf Oberflächen mit Anti-Blendschutz verwenden (z.B. Plasma TV).,,,,,,Swiffer,swiffer,Stück,Stk,,949.0,[],949.0,,,,6.0,,,,,,,,,,,,
1,,"Soja, Hafer & Reisdrinks",1.0,,<ul><li>Lang haltbarer Soja-Drink</li><li>Speziell für Baristas entwickelt</li><li>Aufgrund der guten Aufschäumbarkeit gelingen perfekte Kaffeespezialitäten</li></ul>,False,['https://images.cdn.europe-west1.gcp.commercetools.com/723b2575-66c7-4d92-ae49-82bf1d168d26/00-898203-546270432-yKBRnDFy.jpg'],Alpro Barista Soja Drink,Packung,pa,"[[{'key': '13943', 'name': 'Nahrungsmittel', 'slug': 'nahrungsmittel-13943', 'orderHint': '000001930'}, {'key': '14048', 'name': 'rein pflanzliche Ernährung', 'slug': 'rein-pflanzliche-ernaehrung-14048', 'orderHint': '000002980'}, {'key': '14052', 'name': 'Soja, Hafer & Reisdrinks', 'slug': 'soja-hafer-und-reisdrinks-14052', 'orderHint': '000003020'}]]",251644f3-44fc-4265-8155-99813268a72d,False,00-898203,alpro-barista-soja-drink-00898203,,True,False,lt,Liter,liter,1.056,False,False,0,,,,,,,,,,,,"['pp-veget', 'pp-vegan']","MIT BARISTAS ENTWICKELT ...fu'r vielseitige köstliche Kaffeekreationen, ob heiß oder kalt. Ganz LEICHT aufschäumbar und dank
GLÄNZENDEM MIKROSCHAUM perfekt fu'r deine LATTE ART. 0% ABHOLZUNG Unser Soja ist OHNE GENTECHNIK und fu'r den
Anbau werden keine Bäume abgeholzt. Baum-tastisch!Reich an PFLANZLICHEM PROTEIN. Zuckerarm, von Natur aus arm an gesättigten
Fettsäuren, Quelle von CALCIUM und Vitamin B2, B12, D2.
KÜHL MICH, denn so ist mein Schaum am besten. 2. Erhitze mich in deinem MILCHAUFSCHÄUMER oder in einem TOPF. 3. Erhitze mich
BIS MAXIMAL 65°C 4. Im TOPF: ringe mich mit einem MILCHAUFSCHÄUMER auf das doppelte Volumen. Klopfe den Topf auf den
Herd, damit die Luftblasen PLATZEN. 5. Dein SAMTIGER SCHAUM ist bereit fu'r deinen Kaffee. Jetzt kannst du mit deiner LATTE ART
glänzen! Merh auf @alprobarista",,"Mindestens haltbar bis: siehe Oberseite. Nach Anbruch 5 Tage im Kühlschrank haltbar (+1° bis +7°C).
Kann kalt oder warm verwendet werden. Eine vielseitige pflanzliche Alternative fuür alle Kaffee-Applikationen. Nur einmal aufschäumen. Aufschäumbar. Fuür heiße und kalte Getränke. Vor Verwendung kuühlen und kräftig schuütteln. Aufschäumen bis maximal 65°C.",,,,,,Alpro,alpro,Liter,Liter,1,279.0,[],279.0,,ONEWAY,['CONTAINS AY'],,,,,,,,,,,,,
0.5,,Eistee,1.0,,Nativa Green Tea Lemon von Rauch ist ein belebendes Erfrischungsgetränk aus echtem Grüntee. Es zaubert Wellness und Entspannung in den Alltag.<ul><li>wertvolle Zutaten</li><li>köstlich erfrischender Zitronengeschmack</li></ul>,False,['https://images.cdn.europe-west1.gcp.commercetools.com/723b2575-66c7-4d92-ae49-82bf1d168d26/00-769867-0182656482-bCyBo1N-.jpg'],Nativa Green Tea Lemon,Flasche,fl,"[[{'key': '13784', 'name': 'Getränke', 'slug': 'getraenke-13784', 'orderHint': '000000340'}, {'key': '13785', 'name': 'Alkoholfreie Getränke', 'slug': 'alkoholfreie-getraenke-13785', 'orderHint': '000000350'}, {'key': '13787', 'name': 'Eistee', 'slug': 'eistee-13787', 'orderHint': '000000370'}]]",ce0bb1c2-a5f8-48a5-b590-b6670848ee51,False,00-769867,nativa-green-tea-lemon-00769867,,True,False,lt,Liter,liter,0.55,False,False,0,,,Österreich,,,,,,,,,"['pp-veget', 'pp-vegan', 'isdeposittype-singleusedeposit', 'homecountry']",Frisch gebrühter Grüntee mit Zitronensaft: erfrischend & kalorienarm ohne Farb- und Konservierungsstoffe. Unser grüner Tee ist ein echter Alleskönner: wir verwenden für unseren Nativa seit über 20 Jahren nur echt gebrühte Grünteeblätter.,,Geöffnet gekühlt 3 Tage haltbar.,,,,,,Nativa,nativa,Liter,Liter,1,318.0,[],159.0,,SINGLE_USE,,36.0,25.0,,,,,,,,,,,
200,,Trockenfrüchte,1000.0,,Durch sorgfältige Ernte und schonende Trocknung unserer Bio-Sultaninen bleibt ihr intensiv-fruchtige Geschmack bestens erhalten. Während des Trocknungsvorgangs wird den Früchten Wasser entzogen und somit sind sie länger haltbar.<p><ul><li> ungeschwefelt</li><li>sonnnengetrocknet</li><li>perfekt zum Backen oder in Nussmischungen & Müslis</li></ul>,False,['https://images.cdn.europe-west1.gcp.commercetools.com/723b2575-66c7-4d92-ae49-82bf1d168d26/00-436514-1365078240-RttDT0I-.jpg'],Ja! Natürlich Bio Sultaninen,Beutel,bt,"[[{'key': '13943', 'name': 'Nahrungsmittel', 'slug': 'nahrungsmittel-13943', 'orderHint': '000001930'}, {'key': '13955', 'name': 'Backen', 'slug': 'backen-13955', 'orderHint': '000002050'}, {'key': '13963', 'name': 'Trockenfrüchte', 'slug': 'trockenfruechte-13963', 'orderHint': '000002130'}], [{'key': '13751', 'name': 'Obst & Gemüse', 'slug': 'obst-und-gemuese-13751', 'orderHint': '000000010'}, {'key': '13764', 'name': 'Trockenfrüchte & Nüsse', 'slug': 'trockenfruechte-und-nuesse-13764', 'orderHint': '000000040'}]]",e99850fb-dfb0-4a21-8467-be20ea64b36e,False,00-436514,ja-natuerlich-bio-sultaninen-00436514,,True,False,gr,Gramm,g,0.21,False,False,0,,,Türkei,,,,,,,,,"['pp-veget', 'pp-bio']",,,"Trocken lagern
Vor Wärme geschützt lagern
Nach dem Öffnen innerhalb von 3 Wochen verzehren",,,,,,Ja! Natürlich,ja--natuerlich,Kilogramm,kg,1,1195.0,[],239.0,,,"['MAY_CONTAIN AY', 'MAY_CONTAIN AW', 'MAY_CONTAIN EM_SF', 'MAY_CONTAIN AS', 'MAY_CONTAIN AP']",6.0,,,,,,,,,,,,
1,,Milchgetränke,1.0,,Frischer Kaffeegenuss aus dem Kühlschrank: Der fertige Nöm Wiener Eiskaffee ist eine praktische Erfrischung aus Milch und Kaffee. Einschenken und genießen!<ul><li>Wiener Eiskaffee im praktischen Tetrapack</li><li>mit gentechnikfreier Milch</li></ul>,False,['https://images.cdn.europe-west1.gcp.commercetools.com/723b2575-66c7-4d92-ae49-82bf1d168d26/00-425362-0232610860-ojjSjyqj.jpg'],nöm Wiener Eiskaffee,Packung,pa,"[[{'key': '13841', 'name': 'Kühlwaren', 'slug': 'kuehlwaren-13841', 'orderHint': '000000910'}, {'key': '13869', 'name': 'Milchprodukte', 'slug': 'milchprodukte-13869', 'orderHint': '000001190'}, {'key': '13876', 'name': 'Milchgetränke', 'slug': 'milchgetraenke-13876', 'orderHint': '000001260'}], [{'key': '13784', 'name': 'Getränke', 'slug': 'getraenke-13784', 'orderHint': '000000340'}, {'key': '13785', 'name': 'Alkoholfreie Getränke', 'slug': 'alkoholfreie-getraenke-13785', 'orderHint': '000000350'}, {'key': '13786', 'name': 'Eiskaffee', 'slug': 'eiskaffee-13786', 'orderHint': '000000360'}], [{'key': '13784', 'name': 'Getränke', 'slug': 'getraenke-13784', 'orderHint': '000000340'}, {'key': '13801', 'name': 'Kaffee, Tee & Co.', 'slug': 'kaffee-tee-und-co-13801', 'orderHint': '000000510'}, {'key': '13802', 'name': 'Kaffee', 'slug': 'kaffee-13802', 'orderHint': '000000520'}, {'key': '13808', 'name': 'Trinkfertiger Kaffee', 'slug': 'trinkfertiger-kaffee-13808', 'orderHint': '000000580'}]]",9935b01f-ad83-4412-b5b4-62a7c1df50f7,False,00-425362,noem-wiener-eiskaffee-00425362,,True,False,lt,Liter,liter,1.07,False,False,0,,,,,,,,,,,,"['pp-veget', 'kuehlung', 'homecountry', 'gs-gentech']",Hol dir das Wiener Kaffeehaus-Feeling direkt zu dir nach Hause - unser cremig-süßer nöm Typ Wiener Eiskaffee Classic machts möglich! Nicht nur im Sommer ist diese einzigartige Mischung aus köstlichem Kaffee und gentechnikfreier Milch aus regionaler Produktion ein ganz besonderer Genuss!,,"Ungeöffnet, ungekühlt (<25°C) mindestens haltbar bis: siehe Oberseite. Nach dem Öffnen gekühlt lagern und innerhalb von 2 Tagen verbrauchen.
Vor dem Öffnen gut schütteln!",,,,,1.0,Nöm,noem,Liter,Liter,1,219.0,[],219.0,,ONEWAY,['CONTAINS AM'],60.0,,,,,,,,,,,,
300,,Hunde Nassfutter,1000.0,,Mit Schlemmerkern.,False,['https://images.cdn.europe-west1.gcp.commercetools.com/723b2575-66c7-4d92-ae49-82bf1d168d26/00-296700-0710968464-Kg_xR30X.jpg'],"Clever Saftige Pastete mit Pute, Paprika & Reis",Schale,se,"[[{'key': '14181', 'name': 'Haustier', 'slug': 'haustier-14181', 'orderHint': '000004310'}, {'key': '14182', 'name': 'Hunde', 'slug': 'hunde-14182', 'orderHint': '000004320'}, {'key': '14183', 'name': 'Hunde Nassfutter', 'slug': 'hunde-nassfutter-14183', 'orderHint': '000004330'}]]",5b6a595c-0fcf-468e-8de0-fe5faf8a0381,False,00-296700,clever-saftige-pastete-mit-pute-paprika-und-reis-00296700,,True,False,gr,Gramm,g,0.312,False,False,0,,,Liechtenstein,,,,,,,,,,,,"Bitte kühl und trocken lagern. Geöffnete Schalen sind gut verschlossen bei einer gekühlten Lagerung für max. 2 Tage haltbar.
",,,,,1.0,CLEVER,clever,Kilogramm,kg,1,250.0,[],75.0,,,,36.0,,,,,,,,,,,,
